Review Text,Rating (Max 5),Review Date,Product Name,review_text_raw,review_text,review_text_lemma,brand,rating,review_date,absorbency,comfort,price,discretion,adhesive_fit,packaging,sustainability,absorbency_n_sents,comfort_n_sents,price_n_sents,discretion_n_sents,adhesive_fit_n_sents,packaging_n_sents,sustainability_n_sents
These things are freaking ginormous,4.0 out of 5 stars,2023-09-29 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",These things are freaking ginormous,These things are freaking ginormous,these thing be freak ginormous,,,2023-09-29,,,,-0.990523636341095,,,,0,0,0,1,0,0,0
"These are the best overnight and extra heavy flow pads by far. In a perfect world, I could get by using only period panties, but the first 2-3 days are way too heavy for period panties available on the market (I haven't tried the disposable ones yet). I also tend to leak on the front instead of the back, which 99% of pads and period panties are made for. Due to their length, these work well, especially if you wear them backwards. Because of their size and thickness, they aren't the most comfortable if you're being active.",4.0 out of 5 stars,2023-09-05 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)","These are the best overnight and extra heavy flow pads by far. In a perfect world, I could get by using only period panties, but the first 2-3 days are way too heavy for period panties available on the market (I haven't tried the disposable ones yet). I also tend to leak on the front instead of the back, which 99% of pads and period panties are made for. Due to their length, these work well, especially if you wear them backwards. Because of their size and thickness, they aren't the most comfortable if you're being active.","These are the best overnight and extra heavy flow pads by far. In a perfect world, I could get by using only period panties, but the first 2-3 days are way too heavy for period panties available on the market (I haven't tried the disposable ones yet). I also tend to leak on the front instead of the back, which 99% of pads and period panties are made for. Due to their length, these work well, especially if you wear them backwards. Because of their size and thickness, they aren't the most comfortable if you're being active.",these be the good overnight and extra heavy flow pad by far in a perfect world i could get by use only period panty but the first 2 3 day be way too heavy for period panty available on the market i have not try the disposable one yet i also tend to leak on the front instead of the back which 99 of pad and period panty be make for due to their length these work well especially if you wear they backwards because of their size and thickness they be not the most comfortable if you be be active,,,2023-09-05,0.002340078353881836,-0.9937731623649597,,-0.9937731623649597,,,,2,1,0,1,0,0,0
"I needed a pad for a temporary bladder leakage and since the old type pads that were used with a sanitary belt (yep, I'm that old) haven't been made in decades and would be the ideal resolution, I went looking for something that would suffice for small bladder leakage problems. Since I used to use Always products years ago, and after researching several pad options, I thought this would be a great way to protect my clothing should an instance occur. Well, when I opened the package and opened one of the pads I was really surprised. These pads are huge in length, but are good in width. except that I have to cut off the bottom 2 inches of the pad at the fold when you open it unless you want to use it for night time urine protection. I bought these for the thickness and for the ""wings"" but the only problem is that there is virtually little to no adhesion! I have to use a small safety pin in the front to attach the pad to my underware. Kind of defeats the purpose. For now, they will suffice. Should I need to order this type of pad again, I would not buy these Always and would look for something else. It's a shame because if it were not for the lack of adhesion and the length, these would be perfect.",4.0 out of 5 stars,2023-09-02 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)","I needed a pad for a temporary bladder leakage and since the old type pads that were used with a sanitary belt (yep, I'm that old) haven't been made in decades and would be the ideal resolution, I went looking for something that would suffice for small bladder leakage problems. Since I used to use Always products years ago, and after researching several pad options, I thought this would be a great way to protect my clothing should an instance occur. Well, when I opened the package and opened one of the pads I was really surprised. These pads are huge in length, but are good in width. except that I have to cut off the bottom 2 inches of the pad at the fold when you open it unless you want to use it for night time urine protection. I bought these for the thickness and for the ""wings"" but the only problem is that there is virtually little to no adhesion! I have to use a small safety pin in the front to attach the pad to my underware. Kind of defeats the purpose. For now, they will suffice. Should I need to order this type of pad again, I would not buy these Always and would look for something else. It's a shame because if it were not for the lack of adhesion and the length, these would be perfect.","I needed a pad for a temporary bladder leakage and since the old type pads that were used with a sanitary belt (yep, I'm that old) haven't been made in decades and would be the ideal resolution, I went looking for something that would suffice for small bladder leakage problems. Since I used to use Always products years ago, and after researching several pad options, I thought this would be a great way to protect my clothing should an instance occur. Well, when I opened the package and opened one of the pads I was really surprised. These pads are huge in length, but are good in width. except that I have to cut off the bottom 2 inches of the pad at the fold when you open it unless you want to use it for night time urine protection. I bought these for the thickness and for the ""wings"" but the only problem is that there is virtually little to no adhesion! I have to use a small safety pin in the front to attach the pad to my underware. Kind of defeats the purpose. For now, they will suffice. Should I need to order this type of pad again, I would not buy these Always and would look for something else. It's a shame because if it were not for the lack of adhesion and the length, these would be perfect.",i need a pad for a temporary bladder leakage and since the old type pad that be use with a sanitary belt yep i be that old have not be make in decade and would be the ideal resolution i go look for something that would suffice for small bladder leakage problem since i use to use always product year ago and after research several pad option i think this would be a great way to protect my clothing should an instance occur well when i open the package and open one of the pad i be really surprised these pad be huge in length but be good in width except that i have to cut off the bottom 2 inch of the pad at the fold when you open it unless you want to use it for night time urine protection i buy these for the thickness and for the wing but the only problem be that there be virtually little to no adhesion i have to use a small safety pin in the front to attach the pad to my underware kind of defeat the purpose for now they will suffice should i need to order this type of pad again i would not buy these always and would look for something else it be a shame because if it be not for the lack of adhesion and the length these would be perfect,,,2023-09-02,-0.9988547563552856,,-0.9988547563552856,-0.9986801594495773,-0.9997649788856506,0.9994101524353027,,1,0,1,4,1,1,0
"These pads are so comfortable and I love them but the package I received this time has very poor adhesive, so they fall off my underwear every time I pull them up after using the bathroom. Also this package, after wearing the pad for about 2 hours I went to the bathroom and when I pulled my pants down there was cotton all over the place and a hole in the back of the pad. The same thing happened with my size 3 pads so I'm not sure if the quality went down or this is a coincidence that two different size pads of the same brand have the same problems. Other brands like from Amazon and Walmart have much better adhesive and do not tear but are not quite as comfortable, they are less thick and soft.",4.0 out of 5 stars,2023-08-01 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)","These pads are so comfortable and I love them but the package I received this time has very poor adhesive, so they fall off my underwear every time I pull them up after using the bathroom. Also this package, after wearing the pad for about 2 hours I went to the bathroom and when I pulled my pants down there was cotton all over the place and a hole in the back of the pad. The same thing happened with my size 3 pads so I'm not sure if the quality went down or this is a coincidence that two different size pads of the same brand have the same problems. Other brands like from Amazon and Walmart have much better adhesive and do not tear but are not quite as comfortable, they are less thick and soft.","These pads are so comfortable and I love them but the package I received this time has very poor adhesive, so they fall off my underwear every time I pull them up after using the bathroom. Also this package, after wearing the pad for about 2 hours I went to the bathroom and when I pulled my pants down there was cotton all over the place and a hole in the back of the pad. The same thing happened with my size 3 pads so I'm not sure if the quality went down or this is a coincidence that two different size pads of the same brand have the same problems. Other brands like from Amazon and Walmart have much better adhesive and do not tear but are not quite as comfortable, they are less thick and soft.",these pad be so comfortable and i love they but the package i receive this time have very poor adhesive so they fall off my underwear every time i pull they up after use the bathroom also this package after wear the pad for about 2 hour i go to the bathroom and when i pull my pant down there be cotton all over the place and a hole in the back of the pad the same thing happen with my size 3 pad so i be not sure if the quality go down or this be a coincidence that two different size pad of the same brand have the same problem other brand like from amazon and walmart have much well adhesive and do not tear but be not quite as comfortable they be less thick and soft,,,2023-08-01,,-0.9952007234096527,,-0.9974941313266754,-0.9952007234096527,-0.9937364459037781,-0.992403507232666,0,2,0,2,2,2,1
"I don't wear clothes that need a seamless look so it is almost perfect. One thing I hate about these pads is that the front is far too narrow compared to other brands. If it had a wider front, I would rate it 5 stars",4.0 out of 5 stars,2023-07-29 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)","I don't wear clothes that need a seamless look so it is almost perfect. One thing I hate about these pads is that the front is far too narrow compared to other brands. If it had a wider front, I would rate it 5 stars","I don't wear clothes that need a seamless look so it is almost perfect. One thing I hate about these pads is that the front is far too narrow compared to other brands. If it had a wider front, I would rate it 5 stars",i do not wear clothe that need a seamless look so it be almost perfect one thing i hate about these pad be that the front be far too narrow compare to other brand if it have a wide front i would rate it 5 star,,,2023-07-29,,,,-0.9993091821670532,,,,0,0,0,1,0,0,0
"These are the biggest/longest pads I've ever seen. And I've had 3 kids. I think they're bigger than the ones they give you after giving birth lol. I had no idea they were this big when I ordered them. I guess if you're a crazy heavy bleeder they are for you, but if not, do not buy. These things are massive.",4.0 out of 5 stars,2023-07-19 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)","These are the biggest/longest pads I've ever seen. And I've had 3 kids. I think they're bigger than the ones they give you after giving birth lol. I had no idea they were this big when I ordered them. I guess if you're a crazy heavy bleeder they are for you, but if not, do not buy. These things are massive.","These are the biggest/longest pads I've ever seen. And I've had 3 kids. I think they're bigger than the ones they give you after giving birth lol. I had no idea they were this big when I ordered them. I guess if you're a crazy heavy bleeder they are for you, but if not, do not buy. These things are massive.",these be the big long pad i have ever see and i have have 3 kid i think they be big than the one they give you after give birth lol i have no idea they be this big when i order they i guess if you be a crazy heavy bleeder they be for you but if not do not buy these thing be massive,,,2023-07-19,,,,0.9972658157348633,,,,0,0,0,2,0,0,0
Did not realize how thick these were...you will see them through jeans so I suggest wearing loose fitting clothing. Other than that I'm not sure how effective these are for me. They are very uncomfortable and stiff. I prefer the thin ones that still absorbs well.,4.0 out of 5 stars,2023-07-08 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",Did not realize how thick these were...you will see them through jeans so I suggest wearing loose fitting clothing. Other than that I'm not sure how effective these are for me. They are very uncomfortable and stiff. I prefer the thin ones that still absorbs well.,Did not realize how thick these were...you will see them through jeans so I suggest wearing loose fitting clothing. Other than that I'm not sure how effective these are for me. They are very uncomfortable and stiff. I prefer the thin ones that still absorbs well.,do not realize how thick these be you will see they through jean so i suggest wear loose fitting clothing other than that i be not sure how effective these be for i they be very uncomfortable and stiff i prefer the thin one that still absorb well,,,2023-07-08,0.9996898174285889,-0.9993901252746582,,0.10134151577949524,-0.7970067858695984,,,1,1,0,2,1,0,0
Used for postpartum. They were thick and did what was needed,4.0 out of 5 stars,2023-04-24 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",Used for postpartum. They were thick and did what was needed,Used for postpartum. They were thick and did what was needed,use for postpartum they be thick and do what be need,,,2023-04-24,,,,0.9979313611984253,,,,0,0,0,1,0,0,0
Wished it came delivered in a box for privacy reasons.,4.0 out of 5 stars,2023-02-27 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",Wished it came delivered in a box for privacy reasons.,Wished it came delivered in a box for privacy reasons.,wish it come deliver in a box for privacy reason,,,2023-02-27,,,,,,-0.9990411400794983,,0,0,0,0,0,1,0
"I've always (haha pun not intended) used these. they do their job. i don't know if there's any bad ingredients in them, i hope not, but they do their job.",4.0 out of 5 stars,2023-02-06 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)","I've always (haha pun not intended) used these. they do their job. i don't know if there's any bad ingredients in them, i hope not, but they do their job.","I've always (haha pun not intended) used these. they do their job. i don't know if there's any bad ingredients in them, i hope not, but they do their job.",i have always haha pun not intend use these they do their job i do not know if there be any bad ingredient in they i hope not but they do their job,,,2023-02-06,,,,,,,,0,0,0,0,0,0,0
Not bad,4.0 out of 5 stars,2022-07-09 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",Not bad,Not bad,not bad,,,2022-07-09,,,,,,,,0,0,0,0,0,0,0
Works well for absorbency but doesn't stick great.,4.0 out of 5 stars,2022-05-03 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",Works well for absorbency but doesn't stick great.,Works well for absorbency but doesn't stick great.,work well for absorbency but do not stick great,,,2022-05-03,-0.9940815567970276,,,,-0.9940815567970276,,,1,0,0,0,1,0,0
I bought this thinking it's the normal maxi pads I always buy but it wasn't. These are extremely huge! I mean no way you have any stress about leaking but it really is like wearing a diaper. I personally won't buy it again. It's too much but I if you have an extremely heavy flow this will be fantastic.,4.0 out of 5 stars,2021-12-28 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",I bought this thinking it's the normal maxi pads I always buy but it wasn't. These are extremely huge! I mean no way you have any stress about leaking but it really is like wearing a diaper. I personally won't buy it again. It's too much but I if you have an extremely heavy flow this will be fantastic.,I bought this thinking it's the normal maxi pads I always buy but it wasn't. These are extremely huge! I mean no way you have any stress about leaking but it really is like wearing a diaper. I personally won't buy it again. It's too much but I if you have an extremely heavy flow this will be fantastic.,i buy this thinking it be the normal maxi pad i always buy but it be not these be extremely huge i mean no way you have any stress about leak but it really be like wear a diaper i personally will not buy it again it be too much but i if you have an extremely heavy flow this will be fantastic,,,2021-12-28,0.04405966401100159,,,-0.9957446455955505,,,,2,0,0,1,0,0,0
"I did not expect the to be so big. I usually buy always and figured these were just a little extra coverage. They are massive and honestly didn't offer as much protection as I thought they should, considering the size of them. Also not very comfortable",4.0 out of 5 stars,2021-11-21 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)","I did not expect the to be so big. I usually buy always and figured these were just a little extra coverage. They are massive and honestly didn't offer as much protection as I thought they should, considering the size of them. Also not very comfortable","I did not expect the to be so big. I usually buy always and figured these were just a little extra coverage. They are massive and honestly didn't offer as much protection as I thought they should, considering the size of them. Also not very comfortable",i do not expect the to be so big i usually buy always and figure these be just a little extra coverage they be massive and honestly do not offer as much protection as i think they should consider the size of they also not very comfortable,,,2021-11-21,,-0.9997861981391907,,,,,,0,1,0,0,0,0,0
"I have always trusted Always and have used them exclusively for years. I rarely ever have problems with leakage, and feel comfortable wearing these all night without accidents",4.0 out of 5 stars,2021-03-27 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)","I have always trusted Always and have used them exclusively for years. I rarely ever have problems with leakage, and feel comfortable wearing these all night without accidents","I have always trusted Always and have used them exclusively for years. I rarely ever have problems with leakage, and feel comfortable wearing these all night without accidents",i have always trust always and have use they exclusively for year i rarely ever have problem with leakage and feel comfortable wear these all night without accident,,,2021-03-27,0.9993569254875183,0.9993569254875183,,,,,,1,1,0,0,0,0,0
Good and easy to work.,4.0 out of 5 stars,2021-02-24 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",Good and easy to work.,Good and easy to work.,good and easy to work,,,2021-02-24,,,,,,,,0,0,0,0,0,0,0
"They really do absorb well. Very comfortable to wear, but these are way too thick.",4.0 out of 5 stars,2021-01-21 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)","They really do absorb well. Very comfortable to wear, but these are way too thick.","They really do absorb well. Very comfortable to wear, but these are way too thick.",they really do absorb well very comfortable to wear but these be way too thick,,,2021-01-21,0.999758780002594,-0.9970904588699341,,-0.9970904588699341,,,,1,1,0,1,0,0,0
The front wings need to extend further back as with the orange colored overnight.,4.0 out of 5 stars,2020-10-31 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",The front wings need to extend further back as with the orange colored overnight.,The front wings need to extend further back as with the orange colored overnight.,the front wing need to extend far back as with the orange color overnight,,,2020-10-31,-0.9916681051254272,,,,-0.9916681051254272,,,1,0,0,0,1,0,0
"Just as how other reviewers said, this pad is very very thick and long, which helps me through my heavy flow during sleep. It wraps around that I never experienced any leaks and it is also very comfortable. However, it's so thick and long that I can only use this at night. I only gave it a 4 because it's very confusing to buyers that Always have maxi and ultra thin for size 5 but they perform very differently. The ultra thin for size 5 is useless when compared to this maxi size 5. I would suggest buying this maxi if you have very heavy flow!",4.0 out of 5 stars,2020-10-12 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)","Just as how other reviewers said, this pad is very very thick and long, which helps me through my heavy flow during sleep. It wraps around that I never experienced any leaks and it is also very comfortable. However, it's so thick and long that I can only use this at night. I only gave it a 4 because it's very confusing to buyers that Always have maxi and ultra thin for size 5 but they perform very differently. The ultra thin for size 5 is useless when compared to this maxi size 5. I would suggest buying this maxi if you have very heavy flow!","Just as how other reviewers said, this pad is very very thick and long, which helps me through my heavy flow during sleep. It wraps around that I never experienced any leaks and it is also very comfortable. However, it's so thick and long that I can only use this at night. I only gave it a 4 because it's very confusing to buyers that Always have maxi and ultra thin for size 5 but they perform very differently. The ultra thin for size 5 is useless when compared to this maxi size 5. I would suggest buying this maxi if you have very heavy flow!",just as how other reviewer say this pad be very very thick and long which help i through my heavy flow during sleep it wrap around that i never experience any leak and it be also very comfortable however it be so thick and long that i can only use this at night i only give it a 4 because it be very confusing to buyer that always have maxi and ultra thin for size 5 but they perform very differently the ultra thin for size 5 be useless when compare to this maxi size 5 i would suggest buy this maxi if you have very heavy flow,,,2020-10-12,0.24166274070739746,0.9997642636299133,,-0.08115190267562866,,0.9997642636299133,,3,1,0,4,0,1,0
